MIN,PF,STL,PTS,FGM,FGA,BLK,BLKA,PLUS_MINUS,PFD,TOV,DREB,REB,OREB,FTM,FTA,EXP,POSS,AGE,HEIGHT,WEIGHT,BMI,USG_PCT,PIE,E_OFF_RATING,E_DEF_RATING,AST_TO,AST_RATIO,FG3M,FG3A,AST,PFD,Games Missed
1023.3316666666668,84,60,421,139,360,16,22,218,58,39,113,141,28,66,79,5.0,2157,26,75.0,200.0,24.995555555555555,0.177,0.079,120.0,111.2,2.92,20.8,77,214,114,58,43
395.7166666666666,56,6,142,58,93,16,11,-88,48,23,103,157,54,26,53,15.0,803,35,83.0,265.0,27.04238641312237,0.147,0.11,105.0,114.2,1.13,15.8,0,0,26,48,0
149.54666666666665,14,6,43,17,50,2,1,-24,8,9,36,44,8,5,11,2.0,310,26,77.0,185.0,21.935402260077584,0.171,0.09,99.1,109.7,2.89,28.9,4,13,26,8,0
2988.568333333333,161,90,1897,650,1355,45,75,-62,439,135,297,340,43,522,612,14.0,6098,34,78.0,220.0,25.42077580539119,0.252,0.129,113.3,113.9,3.12,19.4,75,225,421,439,3
1108.08,93,40,291,96,232,25,3,177,37,20,181,218,37,20,26,4.0,2300,27,81.0,228.0,24.429812528577962,0.101,0.073,113.0,102.2,2.15,14.0,79,202,43,37,28
1783.4983333333332,109,56,920,427,749,42,41,-318,78,99,433,609,176,65,79,5.0,3631,25,84.0,247.0,24.608985260770975,0.211,0.141,105.4,113.8,0.91,9.3,1,10,90,78,27
2783.343333333333,138,111,1753,672,1463,24,69,-154,192,201,354,416,62,208,262,6.0,5879,27,77.0,180.0,21.34255355034576,0.259,0.122,114.9,118.3,2.5,22.1,201,554,502,192,4
741.5666666666667,32,54,210,74,188,11,11,13,43,14,67,86,19,37,45,8.0,1560,32,77.0,185.0,21.935402260077584,0.127,0.093,110.7,109.8,8.5,34.8,25,68,119,43,21
2256.643333333333,185,59,1102,406,803,36,76,-329,251,160,456,540,84,202,273,3.0,4936,23,81.0,210.0,22.50114311842707,0.196,0.109,109.3,115.6,1.79,21.0,88,235,286,251,7
2485.945,164,63,1122,403,927,17,66,-126,185,153,203,242,39,178,213,10.0,5106,30,73.0,175.0,23.085944830174515,0.202,0.095,111.7,114.5,3.19,29.5,138,368,488,185,2
1058.6583333333333,121,68,369,147,338,12,24,-36,49,68,114,164,50,43,58,6.0,2160,26,75.0,205.0,25.620444444444445,0.174,0.092,109.7,109.6,2.99,32.0,32,109,203,49,26
1294.2816666666668,144,36,483,221,296,77,20,144,75,50,243,378,135,41,81,0.0,2724,20,85.0,230.0,22.37923875432526,0.124,0.102,120.4,113.7,1.2,13.6,0,2,60,75,27
